"measure_id","plot_id","year","tree_id","code_status","code_diam","dbh","h_tot","crown_h1","crown_h2","crown_h3","crown_h4","crown_r1","crown_r2","crown_r3","crown_r4","stratum"
"01Aillon177","Aillon",2001,"177Aillon","0000",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon178","Aillon",2001,"178Aillon","0000",1,77,34.4,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon179","Aillon",2001,"179Aillon","0000",1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon180","Aillon",2001,"180Aillon","0000",1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon181","Aillon",2001,"181Aillon","0000",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon182","Aillon",2001,"182Aillon","0000",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon183","Aillon",2001,"183Aillon","0000",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon184","Aillon",2001,"184Aillon","0000",1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon185","Aillon",2001,"185Aillon","0000",1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon186","Aillon",2001,"186Aillon","0000",1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon187","Aillon",2001,"187Aillon","0000",1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
